id,create_at,update_at,name,owner,language,stars,watchers,forks,size
3755875,2012-03-18T15:41:35Z,2019-01-03T00:31:46Z,skrollr,Prinzhorn,HTML,18162,18162,3536,1659
2096579,2011-07-24T13:15:51Z,2019-01-03T11:07:21Z,marked,markedjs,JavaScript,18152,18152,2429,1612
38558578,2015-07-05T05:56:42Z,2019-01-03T11:41:15Z,nativefier,jiahaog,JavaScript,18147,18147,988,4648
4037197,2012-04-16T03:12:14Z,2019-01-03T11:07:07Z,YouCompleteMe,Valloric,Python,18081,18081,2043,34573
16677706,2014-02-09T22:39:20Z,2019-01-03T00:45:16Z,awesome-sysadmin,kahun,,18076,18076,3001,592
32215970,2015-03-14T14:31:38Z,2019-01-03T11:45:21Z,mobx,mobxjs,JavaScript,17939,17939,1076,19099
114523184,2017-12-17T09:06:50Z,2019-01-03T12:10:38Z,JCSprout,crossoverJie,Java,17936,17936,4779,977
20965586,2014-06-18T14:41:15Z,2019-01-03T12:04:43Z,SwiftyJSON,SwiftyJSON,Swift,17884,17884,2937,1063
60710553,2016-06-08T15:56:25Z,2019-01-03T05:49:17Z,security-guide-for-developers,FallibleInc,,17859,17859,1226,5838
103953059,2017-09-18T14:56:00Z,2019-01-02T23:26:04Z,modern-js-cheatsheet,mbeaudru,,17840,17840,1572,309
23736449,2014-09-06T14:29:47Z,2019-01-03T10:09:40Z,particles.js,VincentGarreau,JavaScript,17832,17832,3006,158
12244426,2013-08-20T13:58:02Z,2019-01-03T11:40:09Z,nprogress,rstacruz,JavaScript,17828,17828,1525,344
1580851,2011-04-07T05:46:29Z,2019-01-03T11:02:02Z,PhotoSwipe,dimsemenov,JavaScript,17802,17802,2646,28118
18347476,2014-04-01T22:40:40Z,2019-01-03T11:16:33Z,iosched,google,Kotlin,17795,17795,5695,50830
481872,2010-01-21T08:34:27Z,2019-01-03T10:32:29Z,vagrant,hashicorp,Ruby,17759,17759,3619,22184
1864363,2011-06-08T08:53:00Z,2019-01-03T09:53:09Z,composer,composer,PHP,17756,17756,5361,13403
12670444,2013-09-07T19:39:57Z,2019-01-03T08:42:11Z,bluebird,petkaantonov,JavaScript,17742,17742,2226,14599
19141383,2014-04-25T09:44:42Z,2019-01-03T10:45:49Z,blog,fouber,,17735,17735,2055,19107
14807173,2013-11-29T17:36:32Z,2019-01-02T15:53:30Z,How-to-Make-a-Computer-Operating-System,SamyPesse,C,17725,17725,3115,5986
69798748,2016-10-02T13:31:23Z,2019-01-03T09:42:01Z,js-stack-from-scratch,verekia,JavaScript,17715,17715,1762,1800
734934,2010-06-23T01:05:42Z,2019-01-03T11:24:05Z,pug,pugjs,JavaScript,17693,17693,1879,14295
597879,2010-04-06T21:39:05Z,2019-01-03T09:29:25Z,mongoose,Automattic,JavaScript,17664,17664,2528,46209
858127,2010-08-24T01:37:33Z,2019-01-03T12:07:30Z,pandas,pandas-dev,Python,17630,17630,7060,142686
128907699,2018-04-10T09:26:44Z,2019-01-03T10:47:39Z,dayjs,iamkun,JavaScript,17551,17551,715,3741
8686855,2013-03-10T15:12:45Z,2019-01-03T02:28:06Z,intro.js,usablica,HTML,17541,17541,2227,6825
60325062,2016-06-03T06:48:30Z,2019-01-03T10:40:58Z,awesome-deep-learning-papers,terryum,TeX,17470,17470,3300,147
94498635,2017-06-16T02:50:28Z,2019-01-03T11:13:45Z,carbon,dawnlabs,JavaScript,17411,17411,829,2891
23095954,2014-08-19T03:46:38Z,2019-01-03T11:36:57Z,RxAndroid,ReactiveX,Java,17369,17369,2739,835
22374063,2014-07-29T09:09:44Z,2019-01-03T11:49:54Z,android-best-practices,futurice,,17326,17326,3095,596
53658802,2016-03-11T10:18:11Z,2019-01-03T08:46:44Z,weex,alibaba,,17323,17323,2171,136637
1064563,2010-11-09T09:22:21Z,2019-01-03T11:14:52Z,netty,netty,Java,17297,17297,7614,53769
60844036,2016-06-10T11:49:00Z,2019-01-03T11:01:13Z,ShadowsocksX-NG,shadowsocks,Swift,17247,17247,4962,13274
71995937,2016-10-26T11:18:47Z,2019-01-03T10:39:54Z,nuxt.js,nuxt,JavaScript,17222,17222,1407,11308
21481439,2014-07-04T01:05:27Z,2019-01-03T09:19:52Z,hosts,racaljk,Rascal,17154,17154,8525,8892
21935031,2014-07-17T08:51:11Z,2019-01-03T11:37:56Z,awesome-cpp,fffaraz,,17132,17132,3092,1309
3428345,2012-02-13T08:38:00Z,2019-01-03T10:42:10Z,fastclick,ftlabs,HTML,17104,17104,3014,316
321278,2009-09-29T17:21:24Z,2019-01-03T02:13:24Z,npm,npm,,17102,17102,3180,47202
117372806,2018-01-13T19:40:08Z,2019-01-03T11:02:58Z,front-end-interview-handbook,yangshun,JavaScript,17096,17096,2026,1024
301742,2009-09-09T04:55:16Z,2019-01-03T11:19:09Z,tornado,tornadoweb,Python,17093,17093,4822,8464
11570469,2013-07-22T01:15:48Z,2019-01-03T10:23:18Z,Masonry,SnapKit,Objective-C,17065,17065,3079,767
790359,2010-07-22T07:11:11Z,2019-01-03T11:05:13Z,sequelize,sequelize,JavaScript,17008,17008,2727,24207
63484632,2016-07-16T13:38:42Z,2019-01-03T10:34:13Z,fastText,facebookresearch,HTML,16985,16985,3166,7876
8859474,2013-03-18T17:08:21Z,2019-01-03T10:54:45Z,jadx,skylot,Java,16982,16982,1778,11984
958314,2010-10-03T12:50:52Z,2019-01-03T09:12:37Z,nodemon,remy,JavaScript,16951,16951,1139,1739
139824423,2018-07-05T09:11:43Z,2019-01-03T10:48:28Z,100-Days-Of-ML-Code,Avik-Jain,,16931,16931,3492,10953
1451352,2011-03-07T18:44:25Z,2019-01-03T06:20:52Z,mocha,mochajs,JavaScript,16898,16898,2307,10710
49016322,2016-01-04T18:50:02Z,2019-01-03T11:47:27Z,material2,angular,TypeScript,16873,16873,4316,22436
667561,2010-05-15T00:53:07Z,2019-01-03T09:47:03Z,faker.js,Marak,JavaScript,16865,16865,1325,10375
15975439,2014-01-16T17:37:20Z,2019-01-03T10:04:22Z,scrollreveal,scrollreveal,JavaScript,16853,16853,1970,1078
2234102,2011-08-19T13:34:00Z,2019-01-03T09:52:11Z,CodeIgniter,bcit-ci,PHP,16847,16847,7622,51483
2810455,2011-11-19T19:50:47Z,2019-01-03T09:51:21Z,the_silver_searcher,ggreer,C,16805,16805,1017,2369
119811010,2018-02-01T09:08:59Z,2019-01-03T11:29:03Z,tabler,tabler,JavaScript,16797,16797,1452,18567
7607075,2013-01-14T15:46:28Z,2019-01-03T10:54:05Z,Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,CamDavidsonPilon,Jupyter Notebook,16790,16790,5289,132494
88011908,2017-04-12T05:07:46Z,2019-01-03T12:08:40Z,project-based-learning,tuvtran,,16756,16756,2568,352
